id,year
1,2021
2,2020
3,2020
4,2020
5,2019
6,2018
7,2018
8,2017
9,2017
10,2017
11,2016
12,2015
13,2015
14,2015
15,2014
16,2021
17,2021
18,2020
19,2019
20,2019
21,2018
22,2017
23,2017
24,2017
25,2017
26,2016
27,2016
28,2016
29,2015
30,2014
31,2021
32,2020
33,2020
34,2018
35,2018
36,2018
37,2018
38,2017
39,2017
40,2016
41,2015
42,2015
43,2014
44,2014
45,2014
46,2014
47,2021
48,2021
49,2020
50,2020
51,2020
52,2020
53,2019
54,2019
55,2019
56,2019
57,2018
58,2018
59,2018
60,2017
61,2017
62,2016
63,2015
64,2015
65,2021
66,2021
67,2021
68,2020
69,2020
70,2019
71,2019
72,2017
73,2017
74,2016
75,2016
76,2016
77,2015
78,2015
79,2014
80,2014
81,2014
82,2013
83,2021
84,2021
85,2021
86,2021
87,2020
88,2020
89,2020
90,2020
91,2019
92,2017
93,2017
94,2016
95,2016
96,2016
97,2016
98,2015
99,2015
100,2014
101,2020
102,2020
103,2020
104,2020
105,2020
106,2020
107,2019
108,2019
109,2019
110,2018
111,2018
112,2016
113,2016
114,2016
115,2016
116,2015
117,2015
118,2014
119,2020
120,2020
121,2019
122,2019
123,2018
124,2018
125,2018
126,2017
127,2017
128,2016
129,2016
130,2016
131,2016
132,2015
133,2015
134,2015
135,2015
136,2014
137,2014
138,2021
139,2021
140,2021
141,2020
142,2018
143,2017
144,2017
145,2017
146,2016
147,2016
148,2016
149,2016
150,2016
151,2016
152,2015
153,2015
154,2015
155,2015
156,2014
157,2021
158,2021
159,2021
160,2020
161,2020
162,2019
163,2019
164,2018
165,2018
166,2017
167,2017
168,2017
169,2016
170,2016
171,2016
172,2015
173,2015
174,2015
175,2014
176,2020
177,2020
178,2020
179,2019
180,2019
181,2019
182,2018
183,2018
184,2018
185,2017
186,2017
187,2017
188,2016
189,2016
190,2016
191,2016
192,2015
193,2014
194,2014
195,2021
196,2021
197,2020
198,2020
199,2020
200,2020
201,2018
202,2018
203,2017
204,2017
205,2016
206,2016
207,2016
208,2016
209,2015
210,2015
211,2015
212,2015
213,2015
214,2021
215,2021
216,2020
217,2020
218,2019
219,2019
220,2018
221,2018
222,2018
223,2017
224,2017
225,2017
226,2017
227,2015
228,2015
229,2015
230,2015
231,2014
232,2014
233,2014
234,2021
235,2021
236,2020
237,2019
238,2019
239,2018
240,2018
241,2017
242,2017
243,2017
244,2016
245,2016
246,2016
247,2016
248,2015
249,2015
250,2015
251,2015
252,2014
253,2014
254,2014
255,2021
256,2020
257,2020
258,2019
259,2019
260,2019
261,2019
262,2018
263,2018
264,2017
265,2017
266,2017
267,2016
268,2016
269,2016
270,2016
271,2015
272,2015
273,2015
274,2015
275,2014
276,2021
277,2021
278,2021
279,2021
280,2021
281,2020
282,2020
283,2020
284,2020
285,2019
286,2019
287,2019
288,2019
289,2018
290,2017
291,2016
292,2016
293,2015
294,2015
295,2014
296,2013
297,2021
298,2021
299,2021
300,2020
301,2020
302,2020
303,2020
304,2019
305,2019
306,2018
307,2018
308,2018
309,2017
310,2017
311,2016
312,2015
313,2015
314,2015
315,2015
316,2015
317,2013
318,2021
319,2021
320,2020
321,2020
322,2020
323,2020
324,2019
325,2019
326,2019
327,2019
328,2019
329,2018
330,2018
331,2018
332,2018
333,2017
334,2016
335,2016
336,2016
337,2016
338,2015
339,2015
340,2021
341,2021
342,2021
343,2021
344,2020
345,2019
346,2019
347,2019
348,2018
349,2017
350,2017
351,2017
352,2017
353,2016
354,2016
355,2015
356,2015
357,2015
358,2014
359,2014
360,2014
361,2014
362,2013
363,2021
364,2020
365,2020
366,2020
367,2020
368,2019
369,2019
370,2019
371,2019
372,2018
373,2018
374,2018
375,2018
376,2018
377,2017
378,2017
379,2017
380,2016
381,2016
382,2016
383,2015
384,2015
385,2014
386,2021
387,2021
388,2020
389,2020
390,2020
391,2020
392,2020
393,2019
394,2019
395,2019
396,2018
397,2018
398,2018
399,2018
400,2017
401,2017
402,2016
403,2016
404,2015
405,2015
406,2015
407,2015
408,2014
409,2021
410,2021
411,2021
412,2020
413,2019
414,2019
415,2018
416,2018
417,2018
418,2018
419,2017
420,2017
421,2016
422,2016
423,2016
424,2016
425,2016
426,2016
427,2015
428,2015
429,2015
430,2014
431,2014
432,2021
433,2021
434,2020
435,2020
436,2020
437,2020
438,2020
439,2020
440,2019
441,2019
442,2019
443,2019
444,2018
445,2017
446,2017
447,2016
448,2016
449,2016
450,2016
451,2016
452,2015
453,2015
454,2015
455,2014
456,2021
457,2021
458,2021
459,2021
460,2020
461,2020
462,2020
463,2019
464,2018
465,2018
466,2017
467,2017
468,2017
469,2017
470,2016
471,2016
472,2016
473,2016
474,2016
475,2015
476,2015
477,2014
478,2014
479,2013
480,2021
481,2021
482,2020
483,2020
484,2020
485,2020
486,2019
487,2018
488,2018
489,2018
490,2017
491,2017
492,2017
493,2017
494,2017
495,2017
496,2017
497,2016
498,2016
499,2016
500,2016
501,2015
502,2015
503,2014
504,2014
505,2021
506,2021
507,2020
508,2020
509,2020
510,2019
511,2019
512,2018
